name,srid,active,hof,positions,start,end,letter
Kendrell Bell,BellKe20,False,False,LB,2001,2007,B
Kerwin Bell,BellKe00,False,False,QB,1996,1996,B
Kevin Bell,BellKe21,False,False,WR,1978,1978,B
Le'Veon Bell,BellLe00,True,False,RB,2013,2017,B
Len Bell,BellLe20,False,False,DB,1987,1987,B
Marcus Bell,BellMa21,False,False,LB,2000,2002,B
Marcus Bell,BellMa20,False,False,DT,2001,2006,B
Mark Bell,BellMa22,False,False,DE,1979,1984,B
Mark Bell,BellMa23,False,False,WR,1980,1981,B
Mike Bell,BellMi20,False,False,DE,1979,1991,B
Mike Bell,BellMi00,False,False,RB,2006,2010,B
Myron Bell,BellMy20,False,False,DB,1994,2001,B
Nick Bell,BellNi00,False,False,RB,1991,1993,B
Richard Bell,BellRi00,False,False,RB,1990,1990,B
Rick Bell,BellRi20,False,False,RB,1983,1983,B
Ricky Bell,BellRi01,False,False,RB,1977,1982,B
Ricky Bell,BellRi21,False,False,DB,1996,1998,B
Shonn Bell,BellSh20,False,False,TE,1999,1999,B
Tatum Bell,BellTa00,False,False,RB,2004,2008,B
Theo Bell,BellTh00,False,False,WR,1976,1985,B
Todd Bell,BellTo00,False,False,DB-LB,1981,1989,B
Tyrone Bell,BellTy20,False,False,DB,1999,1999,B
Vonn Bell,BellVo00,True,False,SS,2016,2017,B
William Bell,BellWi20,False,False,RB,1994,1996,B
Yeremiah Bell,BellYe20,False,False,DB,2004,2013,B
Jay Bellamy,BellJa22,False,False,DB,1994,2007,B
Josh Bellamy,BellJo02,True,False,WR,2012,2017,B
Mike Bellamy,BellMi21,False,False,WR,1990,1990,B
Ronald Bellamy,BellRo00,False,False,WR,2004,2004,B
Vic Bellamy,BellVi20,False,False,DB,1987,1987,B
Bob Bellinger,BellBo22,False,False,G,1934,1935,B
Rodney Bellinger,BellRo20,False,False,DB,1984,1986,B
Mark Bellini,BellMa00,False,False,WR,1987,1988,B
Joe Bellino,BellJo00,False,False,HB,1965,1967,B
Greg Bellisari,BellGr20,False,False,LB,1997,1998,B
B.J. Bello,BellB.00,True,False,LB,2017,2017,B
Nick Bellore,BellNi01,True,False,LB,2011,2017,B
George Belotti,BeloGe20,False,False,C,1960,1961,B
Ceasar Belser,BelsCe20,False,False,DB,1968,1974,B
Jason Belser,BelsJa20,False,False,DB,1992,2002,B
Horace Belton,BeltHo00,False,False,RB,1978,1980,B
Willie Belton,BeltWi00,False,False,RB,1971,1974,B
Deion Belue,BeluDe00,False,False,CB,2014,2014,B
Brian Belway,BelwBr20,False,False,DE,1987,1987,B
Al Bemiller,BemiAl00,False,False,C-G-T,1961,1969,B
Marcus Benard,BenaMa00,False,False,LB,2009,2014,B
